리뷰,평점
마스크스캐너들어가서 확인하려고해도 공지사항때문에 볼수가없음... 공지사항 닫기는 어디있는지 보이지도않고 확진자동선은 이미 확인했는데 계속 동선확인으로 넘어가버리고 뒤로가기누르면 공지사항만 닫히는게 아니고 아예 초기화면으로 돌아가버림... 고생하시는건 알지만 공지사항 오늘 더이상보지않기라던가 버튼좀 만들어주세요,3
진료 예약을 하러 들어가봤더니 예약 가능 시각들이 다 떠 있는데 눌러보면 이미 예약이 차있다고 안됩니다. 이미 완료된 시각은 제외하고 띄워주면 좋겠습니다. 하나하나 다 눌러봐야하네요. 그렇게 해서 빈자리 찾으면 다행인데 전 못찾았어요. 헛수고 하게 말고 예약 완료된 시각은 예약가능에 띄우지 말아주세요.,3
사용하기 쉽고 보기에도 쉽고 편해요. 무엇보다 아주 약간의 오차는 있지만 자세한 정보와 정확한 업데이트 덕분에 매번 마스크 빠르고 편하게 잘 사서 쓰고있어요. 덕분이에요. 감사합니다! + 확진자 동선 알림도 좋았는데 없어졌다니 ㅠㅠ ++ 다른 많은 리뷰어분들 말씀처럼 각 약국의 마스크 판매 개시 시간도 같이 알려주는 기능이 있었으면 좋겠습니다.,5
오류 수정 부탁드려요. 오류로 인해 사용 못하고있습니다. 기기명:삼성 SM-A530N 어플을 다운로그하고 첫화면 약관동의에서 전체동의/필수동의/선택동의 내용이 나오는데 동의 체크후 [확인]버튼이 뜨지않아 다음으로 넘어가지않습니다. (화면에 가득글이떠서 확인버튼이 잘린듯한데 밑으로 내려가거나 크기를 줄이지 못합니다) 다른핸드폰(아이폰8)으로 다운받아시도하니 확인을 눌러 다음으로 잘 넘어갑니다. 개선 부탁드립니다. 고생많으십니다.,4
"대기순번 확인할 수 있는 진료 접수현황도 안 보인지 일주일 넘은 것 같은데 오류 수정은 아직인가요? 병원에선 어플 업데이트 오류라서 언제 복구될지 모른다고 하시던데 전체적인 오류는 아닌건지.. 어플 내에서도, 구글플레이스토어에도 오류라는 말 한마디 없고 접수하면 문자로 오는 링크 눌러도 대기 현황은 보지도 않고 오류인지 메일로 문의드려도 답도 안 주시네요. 사용자로서는 대기 접수 현황이 안 보이면 굳이 어플 이용할 이유가 없는데 너무 답답합니다.",1
확실한 공지하나도 제대로 안되고있음 앱내에서는 서울 어디든 퀵배송 된다면서 배송신청하니까 안된다는 연락 하나 없다가 카톡에 작게 강남 송파만 된다고 적혀있네요. 왜 이런 정보를 어플 내에서는 확인이 안되나요. 퀵배송 오지도않는데 신청하면 취소나 변경도 못하네요. ui깔끔해질려고 기본적인걸 버린건지 개발자가 그정도도 구현을 못하는건지 진짜 최악의 앱,1
확진자 동선 메뉴가 갑자기 사라졌는데요 동선 볼 수 있는 메뉴를 제가 못찾고 있는 건가요? 공지사항에도 확진자동선 제공폐지 에 관한언급도 없고 계속 찾고있습니다 그동안 편리하게 잘 사용하고 있었습니다 감사합니다 확진자동선 메뉴에 대해서 답변 부탁드립니다,5
"확진자동선에전혀상관없는주변건물명칭이뜨면서신천지라고표시가되면,그사업장은어쩌라는건가요?주변에신천지가있는것도화가나고,매출도떨어졌는데..정확하게정보를제공하고싶으시면지도를더디테일하게만들어서표시를해주시던지요. 그리고 670미터주변에확진자동선이있다는데..그게언제적동선인데..그걸계속표시해주면..그사업장은또어쩌라는건가요.. 항의하려고해도 전화번호도없고.. 메일은보냈으니확인해주세요.",1
항상 병원 갈때마다 굿닥어플 너무 잘쓰고있습니다. 대기없이 예약과 진료볼수있으니 행복합니다. 굿닥어플 강추합니다~!,5
업데이트되고 계속 연결안된다고떠요ㅡㅡ 예약걸어놓고 대기자확인도힘들면 어떻게쓰라는건가요???,1
