리뷰,평점
건강기록과 만보기 위주로 잘 사용하고 있습니다. 며칠전부터 만보기 걷기모임창에 문제가 있네요. 모임버튼을 누르면 모임창이 새로 떳었는데 새창이 뜨려다 원래 화면으로 튕깁니다. 그리고 걸음수 카운트를 구글피트니스나 삼성헬스와 연동하지 못하나요? 만보기 알림창이 배터리 사용량 제한없음으로 설정해도 종종 강제 종료되서 걸음수 인식이 안된적이 있어서 문의드립니다.,4
복약관리 기능이 들어 있는건 좋은데 캘린더 형식으로 지난 기록도 볼 수 있었으면 좋겠어요. =====수정====== 핸드폰 바꾸면 만보기 초기화 된다고 쓰여있길래 그런가보다 했는데 왜 바꾸지도 않았고 삭제 후 재설치도 안했고 핸드폰 껐다 켜기만 했는데 만보기 초기화 됩니까... 하...9000보였는데 다 날아감,1
4760D63D 편리합니다. 바쁘다 바빠 현대사회에 꼭 필요한 앱중에 하나라고 생각해요. 앱 자체의 기능면이나 효율성은 분명하게 호불호가 갈릴 것 같습니다. 기능적인 면으로 보면 편리하고 나무랄데가 없는 획기적인 아이템이지만 특히 비대면 시대를 살아가는 시대에는 필수적이라고 보입니다. 전이나 지금이나 대도시와 소도시는 아무래도 서비스 자체가 틀리지요. 소도시에 적용이 안되는 곳이 많거나 불편한 점도 틀림없이 있습니다. 좀 더 보완하고 다듬으면 성공이 확실한 나만의닥터,5
유용한 정보도 얻고 걷는 만큼 캐시도 받을 수 있어 좋지만 지난 주부터 걸음수 오류가 발생하고 있습니다. 아무리 걸어도 걸음 수가 올라가지 않습니다. 오류의 일정한 패턴도 없습니다. 25000보를 걸었는데 450보로 표기되며 추가로 걸어도 걸음 수가 올라가지 않습니다. 배터리 최적화 해제 후에도 걸음 수사 올라가지 않습니다.,3
[ 6 E 5 C 7 C 2 F ] 편리하게 이용할 수 있도록 앱 개발해주셔서 감사합니다. 다만 앱이 잡아먹는 리소스가 많아서 그런지 앱을 켠 뒤 한 10초정도 터치가 안먹는 현상이 있고 간혹 앱 응답 없음 알림이 뜰때가 있어 조금 불편하네요. 그 외 제품구매시 사용성은 편리하고 좋아요. 앱 최적화만 좀 더 잘 되어 있으면 좋을 것 같습니다,5
1. 초기에 앱을 실행했을때 권한을 설정다해놨음에도 불구하고 만보기가 정상적으로 작동하려면 꼭 어플에 들어와서 만보기를 눌렀다가 나와야 정상작동하는데 왜 이러는거죠? 어플에 들어오지 않으면 만보기가 0걸음에서 걸음수 카운팅이 안됩니다 2. 걸음수가 카운팅이 되더라도 중간에 접속해서 포인트박스를 열게되면 다시 걸음수가0으로 바뀌고 그뒤로 아무리 걸어도 더이상 걸음수가 카운팅 되지 않습니다,1
"나만의 닥터를 이용한지 1달이 넘었습니다. 비대면 진료 시스템을 이용 할 수 있어서 너무 좋습니다. 여러가지 자기에게 맞는 병원도 알려주고 편리하고 좋아요. 더블어 각종 이벤트도 실시하고 핫딜을 통해 100포인트로 여러가지 약도 받아 볼 수 있었습니다. 또한 자신의 건강을 체계적으로 관리 할 수있게 체중, 복용약, 혈압, 혈당등을 기록 후 관리 할 수 있어서 좋네요. 만보기 기능과 체중, 혈압, 혈당 등을 길ㅛㄱ하면 포인트를 지급해주고 그렇게 쌓인 포인트로 커피등을 바꿔 사용 할 수 있는 점도 훌륭합니다^^",5
나만의닥터 앱은 사용하기 아주 쉽습니다. 걷기만 해도 또한 매일 퀴즈만 풀어도 매일 쌓이는 리워드가 있는데 나중에 다양하게 사용할 수 있어 매우 유용합니다. 한가지 아쉬운건 영양제 100원 핫딜이 있는데 엄청 빨리 클릭을 해야 하기에 순발력이 필요하답니다. 건강 관리에 필요한 앱이므로 추천합니다.,5
"비공식나만의닥터홍보자가되었답니다. 친구들한테도 적극추천하고있어요. 매일 체크해주고 관리해줘야되는 게 혈압,혈당인데 어제는 어떤수치였지 깜빡잊을때가 있는데 나만의 닥터로 체중.혈당.혈압기록할수있어서 좋아요. 영양제챙겨먹기 기록도 있어서 포인트를 주고 또 간단한퀴즈맞추면 포인트,5일연속맞추면 포인트상자10개 주고 여러가지 포인트득템방법이 많아요. 제일 좋은건 광고가 없다는 것! 다른앱들은 한번누를때마다 동영상광고가 나와서 1점받으려고 동영상보는데 현타오는데 나만의닥터는 없어서 깔끔하니 좋아요.",5
나만의닥터앱을 사용한후 하루에 내가 얼마정도 걷는지 건강관리는 어떻게 하는지 체크를 할수 있어 좋습니다. 건강퀴즈까지 풀고 포인트박스도 열어볼수 있는 재미있는 요소가 쏠쏠한것 같아요 다만 주시는 캐쉬가 조금더 단위가 크다면 힘을 좀 더 내어볼 수 있을 것 같아요 앱을 사용한 후 좀 더 부지런해진것을 느낌니다 추천추천,4
