리뷰,평점
앱 자체의 기능면이나 효율성은 분명하게 호불호가 갈릴 것 같습니다. 기능적인 면으로 보면 편리하고 나무랄데가 없는 획기적인 아이템이지만 특히 비대면 시대를 살아가는 시대에는 필수적이라고 보입니다. 전이나 지금이나 대도시와 소도시는 아무래도 서비스 자체가 틀리지요. 소도시에 적용이 안되는 곳이 많거나 불편한 점도 틀림없이 있습니다. 좀 더 보완하고 다듬으면 성공이 확실한 닥터나우죠~,4
편리합니다. 바쁘다 바빠 현대사회에 꼭 필요한 앱중에 하나라고 생각해요. 비대면 시대에도 필수 어플이 아닐까 생각됩니다. 너무 편리하고요. 잘 이용하고 있습니다. 앞으로도 자주 이용할 수 있도록 다양한 지역으로 확장시켜 주시면 너무 좋을 것 같습니다. 지인들에게도 추천하고 있어요:) 굿굿 감사합니다.,5
처음 사용했을때 너무 편해서 또 사용했어요~ 선생님은 직접 선택할수 있다는것 사진도 올려서 정확히 상담 받을수 있다는점 너무 편하고 좋았구요 예약하면 오래기다리지 않아도 금방 연락주셨어요~ 코로나로 사용자가 많았던건지 약 배송이 1시간은 아니고 한 4시간정도 걸렸는데 그래도 편하게 집에서받을수 있었습니다! 무엇보다 3일뒤 증상이 호전됐는지 확인까지 해주셔서 너무 감사했습니다 ^^ 병원가기도 어려운 상황에 너무 편리합니다! 적극 추천하며 앞으로도 계속 이용할것 같습니다 😀,5
코로나로 방문 및 대면진료가 힘든요즘 원격진료는 신의한수입니다!!! 다만 우려되는건. 실제 병의원 방문이 필요한 상태임에도 불구 원격진료 활성화로 치료가능 시기를 놓치는 경우가 생길까봐 이런부분이 충분히 보완된다면 방문진료를 대체할 수 있는 획기적 대안이라 생각합니다!!!^^,5
코로나 시국에 웬만해선 병원 잘 안가고 참는 편이었는데 비대면이라니 아주 획기적이고 좋은 앱인듯 합니다. 특히 거동이 자유롭지 않고 핸드폰 사용이 익숙하지 않은 노약자분들을 위해 가족대리신청도 가능하다니 더욱 좋고 놀랍습니다 잘 이용하겠습니다 감사합니다,5
"비대면 진료 다른데서도 본 적 있는데 여기가 제일 괜찮은 거 같아요. 약 배송도 가장 빠르고요. 아기가 있어서 요즘처럼 추운 날 밖에 나가기가 쉽지 않은데 저는 종종 이용하고 있어요. 다만 주변 검색 병의원이 좀 더 다양해졌으면 좋겠고, 비대면이니 야간진료 하는곳도 있었으면 좋겠어요. 감사합니다",5
"이익집단으로 행동하지 말고(주어생략), 소비자가 편하게 의료서비스를 받을 수 있는, 이런 채널이 더욱 성장했으면 합니다. 저도 어제 몸이 너무 아픈데 병원방문은 힘든데다가 비상약도 떨어져서..닥터나우 앱을 깔았어요. 다행히 호전되어 근처 편의점에서 비상약을 살 수 있었지만, 여전히 힘들었다면 주저없이 비대면진료를 신청했을거에요. 더욱 번창하세요!",5
"앱을 다운받고 둘러보는데 정말 유용한 앱이라는 생각이 들었습니다. 병원에 방문진료가 어려운 분들이 원격비대면진료를 받고 무료로 약 배달까지 받을 수 있도록 만들어져 있고, 주말이나 야간, 공휴일 진료도 가능하니 시공간의 제약이 없습니다. 앱의 화면구성도 단순하게 되어 있어서 이용자들이 필요한 메뉴를 찾기도 쉽습니다.",5
앞으로 비대면으로 이루어지는지는것이 너무 많은데 진료부터 약까지 이렇게 되는 어플이 생겨서 너무 신박합니다~~~자주 이용할수 있도록 이용에 편리함이 자주 업그레이드될수 있었음 좋겠습니다~많은 분들이 많이 알수있도록 홍보가 잘되길바라면서 대박어플이 되길 바랍니다~,5
직장인인데 아플 때 연차 내지 않고 점심 시간 대기 없이 진료에서 처방까지 빠른 처리가 가능해서 너무 편리합니다. 그런데 가끔 지방에서 이용하려니 서비스범위가 수도권만큼 넓지 않아 아쉬웠어요. 점차 발전해서 전국적 네트워크가 촘촘해지면 너무 좋을 것 같아요!,5
